city,year_month,n_posts,mean_polarity,median_polarity,pct_negative,pct_positive,pct_neutral,n_posts_crime,mean_polarity_crime,median_polarity_crime,pct_negative_crime,pct_positive_crime,pct_neutral_crime
Regina,2011-05,2.0,0.1513270308123249,0.1513270308123249,0.0,0.5,0.5,1.0,0.0026540616246498,0.0026540616246498,0.0,0.0,1.0
Regina,2011-06,6.0,0.002804130547003398,-0.0293201754385964,0.0,0.3333333333333333,0.6666666666666666,6.0,0.002804130547003398,-0.0293201754385964,0.0,0.3333333333333333,0.6666666666666666
Regina,2011-07,3.0,0.10696592318519443,0.1058175770308123,0.0,1.0,0.0,3.0,0.10696592318519443,0.1058175770308123,0.0,1.0,0.0
Regina,2011-08,1.0,0.2892857142857142,0.2892857142857142,0.0,1.0,0.0,1.0,0.2892857142857142,0.2892857142857142,0.0,1.0,0.0
Regina,2011-09,3.0,0.0800091261267981,0.0718013468013468,0.0,1.0,0.0,2.0,0.07001098356249155,0.07001098356249155,0.0,1.0,0.0
Regina,2011-10,2.0,-0.03599537037037035,-0.03599537037037035,0.5,0.5,0.0,,,,,,
Regina,2011-11,6.0,0.026669712202833814,0.0609019937513585,0.16666666666666666,0.6666666666666666,0.16666666666666666,3.0,-0.026660575594332405,0.0536644641907799,0.3333333333333333,0.6666666666666666,0.0
Regina,2011-12,4.0,0.06304443241943239,0.07362133237133235,0.25,0.5,0.25,2.0,0.09678571428571425,0.09678571428571425,0.0,0.5,0.5
Regina,2012-01,3.0,0.22191233766233764,0.2133928571428571,0.0,1.0,0.0,2.0,0.21256547619047617,0.21256547619047617,0.0,1.0,0.0
Regina,2012-02,6.0,-0.0149091027143834,0.0052753894767783496,0.16666666666666666,0.16666666666666666,0.6666666666666666,5.0,-0.01539092325726008,0.0106995884773662,0.2,0.2,0.6
Regina,2012-03,10.0,0.04799950796764656,0.1096439662660542,0.1,0.6,0.3,9.0,0.12277723107516285,0.1397217791954633,0.0,0.6666666666666666,0.3333333333333333
Regina,2012-04,10.0,-0.013478592629671122,-0.010687229437229452,0.4,0.4,0.2,9.0,-0.02650399181074569,-0.0410714285714285,0.4444444444444444,0.3333333333333333,0.2222222222222222
Regina,2012-05,44.0,0.16114980388261724,0.20543480861244018,0.0,0.75,0.25,43.0,0.16458760918630191,0.2065833333333334,0.0,0.7674418604651163,0.23255813953488372
Regina,2012-06,15.0,0.11646145632098849,0.1501683501683501,0.06666666666666667,0.8,0.13333333333333333,13.0,0.1181643646437699,0.156872930990578,0.07692307692307693,0.7692307692307693,0.15384615384615385
Regina,2012-07,10.0,0.012248320037634203,0.009455883088308848,0.3,0.4,0.3,6.0,-0.046079188826165185,-0.0150442316958968,0.3333333333333333,0.3333333333333333,0.3333333333333333
Regina,2012-08,8.0,0.06845131479335606,0.05014381357799695,0.125,0.5,0.375,6.0,0.019550432850237883,0.05014381357799695,0.16666666666666666,0.5,0.3333333333333333
Regina,2012-09,5.0,0.017643852245457458,-0.0355160425993759,0.4,0.2,0.4,3.0,-0.039437384962487394,-0.0609995039682539,0.6666666666666666,0.0,0.3333333333333333
Regina,2012-10,13.0,0.10502635332755779,0.0973602484472049,0.07692307692307693,0.6923076923076923,0.23076923076923078,8.0,0.04967768405362092,0.0688256246677299,0.125,0.5,0.375
Regina,2012-11,12.0,0.08840663581628154,0.0953417107583774,0.08333333333333333,0.75,0.16666666666666666,7.0,0.12685620378464407,0.1045454545454545,0.0,1.0,0.0
Regina,2012-12,5.0,0.08116192771044742,0.0999999999999999,0.0,0.8,0.2,2.0,0.0811115577131202,0.0811115577131202,0.0,1.0,0.0
Regina,2013-01,10.0,0.070206792266306,0.12707936507936501,0.2,0.7,0.1,4.0,0.03528428363510797,0.05399515457180325,0.25,0.5,0.25
Regina,2013-02,9.0,0.10144806210176718,0.1009469696969696,0.0,0.5555555555555556,0.4444444444444444,8.0,0.10151069865236689,0.08622433574879225,0.0,0.5,0.5
Regina,2013-03,23.0,0.10086021265253761,0.1116432178932178,0.13043478260869565,0.8695652173913043,0.0,13.0,0.069670600053175,0.108703922340286,0.23076923076923078,0.7692307692307693,0.0
Regina,2013-04,16.0,0.030432058403764436,0.027736254541977402,0.125,0.1875,0.6875,10.0,0.030438713246672557,0.03272038840788835,0.1,0.1,0.8
Regina,2013-05,15.0,0.1208998575737736,0.1260305614783226,0.06666666666666667,0.7333333333333333,0.2,8.0,0.1040655670700645,0.10740278687232466,0.0,0.75,0.25
Regina,2013-06,10.0,0.08125446892077322,0.06214285714285705,0.1,0.8,0.1,9.0,0.07617154580077282,0.0567857142857142,0.1111111111111111,0.7777777777777778,0.1111111111111111
Regina,2013-07,10.0,0.05776301626558272,0.0836947015169704,0.1,0.6,0.3,8.0,0.0495345973996476,0.0836947015169704,0.125,0.625,0.25
Regina,2013-08,16.0,0.06951828199034915,0.07001533189033185,0.25,0.625,0.125,11.0,0.06611752155120032,0.0653282828282828,0.2727272727272727,0.6363636363636364,0.09090909090909091
Regina,2013-09,6.0,0.26358796296296294,0.2816666666666666,0.0,0.8333333333333334,0.16666666666666666,,,,,,
Regina,2013-10,15.0,0.07847914677248671,0.1034455667789001,0.26666666666666666,0.6666666666666666,0.06666666666666667,8.0,0.07033554376624426,0.07804561284674916,0.25,0.625,0.125
Regina,2013-11,21.0,0.11533584027915234,0.1249728350631965,0.047619047619047616,0.8095238095238095,0.14285714285714285,11.0,0.09897177056853507,0.1013888888888888,0.09090909090909091,0.8181818181818182,0.09090909090909091
Regina,2013-12,29.0,0.10339565935388902,0.0877153822055137,0.06896551724137931,0.6551724137931034,0.27586206896551724,20.0,0.1140554003233347,0.1117609009348139,0.05,0.7,0.25
Saskatoon,2010-05,1.0,0.110482880755608,0.110482880755608,0.0,1.0,0.0,,,,,,
Saskatoon,2011-10,3.0,0.12627147939412087,0.1241612554112554,0.0,1.0,0.0,2.0,0.12732659138555358,0.12732659138555358,0.0,1.0,0.0
Saskatoon,2011-11,2.0,0.012130681818181851,0.012130681818181851,0.0,0.0,1.0,,,,,,
Saskatoon,2011-12,2.0,0.00530303030303025,0.00530303030303025,0.0,0.0,1.0,1.0,0.0106060606060605,0.0106060606060605,0.0,0.0,1.0
Saskatoon,2012-01,2.0,0.11662946428571425,0.11662946428571425,0.0,0.5,0.5,,,,,,
Saskatoon,2012-06,1.0,0.0761904761904761,0.0761904761904761,0.0,1.0,0.0,1.0,0.0761904761904761,0.0761904761904761,0.0,1.0,0.0
Saskatoon,2012-07,2.0,0.41914983164983166,0.41914983164983166,0.0,1.0,0.0,,,,,,
